日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3179,,    ,,810,,5280,,売掛の入金　手数料売上,ロクマル,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,2011,,    ,,810,,36850,,売掛の入金　手数料売上,リーズジャパン,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3211,,    ,,810,,6248,,売掛の入金　手数料売上,スリーアール R6/8売上未入金,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,2,,    ,,810,,341517,,売掛の入金　手数料売上　こづか㈱,,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,1007,,    ,,810,,1100,,売掛の入金　手数料売上,ティーケープロジェクト,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,2010,,    ,,810,,15224,,売掛の入金　手数料売上,ラボラトリー,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,3,,    ,,810,,9864983,,市　収集計画,,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,1011,,    ,,810,,4400,,売掛の入金　手数料売上,いい食,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,2001,,    ,,810,,269500,,売掛の入金　手数料売上,J&T環境㈱,,
2024/10/31,,,1112,普通預金,1,,    ,,810,,1142,売掛金,3200,,    ,,810,,165973,,売掛の入金　手数料売上,サティスファクトリー,,
2024/10/31,,,1142,売掛金,33,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,8840,884,10月分 手数料売上,㈱Gradeup,,
2024/10/31,,,1142,売掛金,34,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1380,138,10月分 手数料売上,㈱siesta,,
2024/10/31,,,1142,売掛金,35,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,29850,2985,10月分 手数料売上,リハフロンティア株式,,
2024/10/31,,,1142,売掛金,1002,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5800,580,10月分 手数料売上,ｱﾘｽﾗｯｼｭ,,
2024/10/31,,,1142,売掛金,1003,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,2500,250,10月分 手数料売上,ｽﾅｯｸ千恵　【大興に請求】,,
2024/10/31,,,1142,売掛金,1007,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1000,100,10月分 手数料売上,TKプロジェクト,,
2024/10/31,,,1142,売掛金,1008,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,17300,1730,10月分 手数料売上,溝の口ｵﾌｨｽ,,
2024/10/31,,,1142,売掛金,1010,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5300,530,10月分 手数料売上,ing平間店,,
2024/10/31,,,1142,売掛金,1011,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,17000,1700,10月分 手数料売上,こぱんはうすさくら久,,
2024/10/31,,,1142,売掛金,1012,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,7500,750,10月分 手数料売上,美・ﾃﾞｻﾞｲﾝ　【大興へ請求】,,
2024/10/31,,,1142,売掛金,1013,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,9300,930,10月分 手数料売上,平間耳鼻咽喉科,,
2024/10/31,,,1142,売掛金,1014,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1000,100,10月分 手数料売上,小杉駅周辺エリアマネ,,
2024/10/31,,,1142,売掛金,1017,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,5000,500,10月分 手数料売上,ｾﾝﾄﾗﾙ薬局,,
2024/10/31,,,1142,売掛金,1019,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,1500,150,10月分 手数料売上,川崎ｵｷｼﾄﾝ,,
2024/10/31,,,1142,売掛金,2001,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,248500,24850,10月分 手数料売上,J&T環境,,
2024/10/31,,,1142,売掛金,2010,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,14970,1497,10月分 手数料売上,ラボラトリー,,
2024/10/31,,,1142,売掛金,2011,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,30460,3046,10月分 手数料売上,リーズジャパン,,
2024/10/31,,,1142,売掛金,2024,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,377700,37770,10月分 手数料売上,環境ｵﾌﾟﾃｨﾏﾙ,,
2024/10/31,,,1142,売掛金,2026,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,670800,67080,10月分 手数料売上,三友商事,,
2024/10/31,,,1142,売掛金,2047,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,175820,17582,10月分 手数料売上,京浜総合病院,,
2024/10/31,,,1142,売掛金,2126,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,20000,2000,10月分 手数料売上,NECｸﾞﾘｰﾝｽｲﾐﾝｸﾞｸﾗﾌﾞ玉川,,
2024/10/31,,,1142,売掛金,2543,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,33100,3310,10月分 手数料売上,ブリヂストンタイヤソリューションジャパン,,
2024/10/31,,,1142,売掛金,2921,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,58000,5800,10月分 手数料売上,日本動物高度医療センター,,
2024/10/31,,,1142,売掛金,3001,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,2690,269,10月分 手数料売上,あおば,,
2024/10/31,,,1142,売掛金,3003,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,10240,1024,10月分 手数料売上,秋山商事,,
2024/10/31,,,1142,売掛金,3007,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,14910,1491,10月分 手数料売上,ｲｰｽﾄｻｳﾝﾄﾞ,,
2024/10/31,,,1142,売掛金,3008,,    ,,810,,4103,手数料売上,    ,,1,横浜,110,10,3690,369,10月分 手数料売上,板垣電子工業,,
